2025-11-07 20:25:00 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.23, Details: {'endpoint': '/api/files?file=../../../../windows/win.ini', 'method': 'GET', 'payload_size': 27}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.24, Details: {'endpoint': '/api/data', 'method': 'POST', 'payload_size': 1803}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: csrf, IP: 192.168.1.5, Details: {'endpoint': '/admin/change', 'method': 'POST', 'payload_size': 23}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: csrf, IP: 192.168.1.5, Details: {'endpoint': '/admin/change', 'method': 'POST', 'payload_size': 16}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.9, Details: {'endpoint': '/', 'method': 'POST', 'payload_size': 1420}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.9, Details: {'endpoint': '/api/execute', 'method': 'POST', 'payload_size': 11}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.34, Details: {'endpoint': '/login', 'method': 'PUT', 'payload_size': 1002}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: xss, IP: 192.168.1.43, Details: {'endpoint': '/admin', 'method': 'POST', 'payload_size': 32}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: phishing, IP: 192.168.1.45, Details: {'endpoint': '/reset-password?reset-password?token=fake', 'method': 'GET', 'payload_size': 25}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: phishing, IP: 192.168.1.45, Details: {'endpoint': '/update-account?verify-account?id=stolen', 'method': 'GET', 'payload_size': 24}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.47, Details: {'endpoint': '/api/users', 'method': 'POST', 'payload_size': 160}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: sql_injection, IP: 192.168.1.40, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.31, Details: {'endpoint': '/file?file=../../../../windows/win.ini', 'method': 'GET', 'payload_size': 27}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.31, Details: {'endpoint': '/file?file=..\\..\\..\\windows\\system32\\config\\sam', 'method': 'GET', 'payload_size': 36}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.31, Details: {'endpoint': '/file?file=%2e%2e%2f%2e%2e%2f%2e%2e%2fetc%2fpasswd', 'method': 'GET', 'payload_size': 39}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.31, Details: {'endpoint': '/api/document?file=..\\..\\..\\windows\\system32\\config\\sam', 'method': 'GET', 'payload_size': 36}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.31, Details: {'endpoint': '/read?file=../../../../windows/win.ini', 'method': 'GET', 'payload_size': 27}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: path_traversal, IP: 192.168.1.31, Details: {'endpoint': '/api/files?file=..%2F..%2F..%2Fetc%2Fpasswd', 'method': 'GET', 'payload_size': 27}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.5, Details: {'endpoint': '/', 'method': 'HEAD', 'payload_size': 1790}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: port_scanning, IP: 192.168.1.1, Details: {'endpoint': '/', 'method': 'GET', 'payload_size': 108}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.17, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 11}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.1, Details: {'endpoint': '/profile', 'method': 'DELETE', 'payload_size': 1755}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.25, Details: {'endpoint': '/dashboard', 'method': 'PUT', 'payload_size': 1562}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.13, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 10}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.30, Details: {'endpoint': '/api/system', 'method': 'POST', 'payload_size': 11}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: command_injection, IP: 192.168.1.30, Details: {'endpoint': '/api/system', 'method': 'POST', 'payload_size': 32}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.22, Details: {'endpoint': '/search', 'method': 'GET', 'payload_size': 291}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: suspicious, IP: 192.168.1.10, Details: {'endpoint': '/search', 'method': 'DELETE', 'payload_size': 748}
2025-11-07 21:10:11 - attacks - WARNING - Attack detected - Type: brute_force, IP: 192.168.1.42, Details: {'endpoint': '/login', 'method': 'POST', 'payload_size': 12}
