[2025-11-07T20:25:00.567777] LOG - IP: 192.168.1.23, Request: {'endpoint': '/read?file=..%2F..%2F..%2Fetc%2Fpasswd', 'method': 'GET', 'payload_type': 'path_traversal', 'payload_size': 27, 'is_attack': True}
[2025-11-07T20:55:19.546024] LOG - IP: 192.168.1.32, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 96, 'is_attack': True}
[2025-11-07T20:55:19.546421] LOG - IP: 192.168.1.32, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 185, 'is_attack': True}
[2025-11-07T20:55:19.546736] LOG - IP: 192.168.1.32, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 115, 'is_attack': True}
[2025-11-07T20:55:26.531765] LOG - IP: 192.168.1.20, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 11, 'is_attack': True}
[2025-11-07T20:55:26.532088] LOG - IP: 192.168.1.20, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 11, 'is_attack': True}
[2025-11-07T20:55:26.532407] LOG - IP: 192.168.1.20, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 10, 'is_attack': True}
[2025-11-07T20:56:06.450290] LOG - IP: 192.168.1.10, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 10, 'is_attack': True}
[2025-11-07T20:56:06.451015] LOG - IP: 192.168.1.10, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 10, 'is_attack': True}
[2025-11-07T20:56:06.451656] LOG - IP: 192.168.1.10, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 11, 'is_attack': True}
[2025-11-07T20:56:06.451950] LOG - IP: 192.168.1.10, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 11, 'is_attack': True}
[2025-11-07T20:56:06.453047] LOG - IP: 192.168.1.21, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 32, 'is_attack': True}
[2025-11-07T20:56:06.458364] LOG - IP: 192.168.1.14, Request: {'endpoint': '/api/data', 'method': 'PUT', 'payload_type': 'normal', 'payload_size': 1864, 'is_attack': False}
[2025-11-07T20:56:06.459124] LOG - IP: 192.168.1.40, Request: {'endpoint': '/dashboard', 'method': 'DELETE', 'payload_type': 'normal', 'payload_size': 1095, 'is_attack': False}
[2025-11-07T20:57:49.751436] LOG - IP: 192.168.1.33, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 12, 'is_attack': True}
[2025-11-07T20:57:49.751755] LOG - IP: 192.168.1.33, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 13, 'is_attack': True}
[2025-11-07T20:57:49.754445] LOG - IP: 192.168.1.7, Request: {'endpoint': '/admin/command', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 17, 'is_attack': True}
[2025-11-07T20:57:49.754743] LOG - IP: 192.168.1.7, Request: {'endpoint': '/admin/command', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 11, 'is_attack': True}
[2025-11-07T20:57:49.755662] LOG - IP: 192.168.1.45, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 32, 'is_attack': True}
[2025-11-07T20:57:49.756306] LOG - IP: 192.168.1.45, Request: {'endpoint': '/profile', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 32, 'is_attack': True}
[2025-11-07T20:57:49.756630] LOG - IP: 192.168.1.44, Request: {'endpoint': '/search', 'method': 'HEAD', 'payload_type': 'normal', 'payload_size': 54, 'is_attack': False}
[2025-11-07T20:57:49.756955] LOG - IP: 192.168.1.34, Request: {'endpoint': '/api/document?file=../../../etc/passwd', 'method': 'GET', 'payload_type': 'path_traversal', 'payload_size': 19, 'is_attack': True}
[2025-11-07T20:57:49.760588] LOG - IP: 192.168.1.47, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 98, 'is_attack': True}
[2025-11-07T20:57:49.760922] LOG - IP: 192.168.1.47, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 74, 'is_attack': True}
[2025-11-07T20:57:49.761479] LOG - IP: 192.168.1.47, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 141, 'is_attack': True}
[2025-11-07T20:57:49.763213] LOG - IP: 192.168.1.6, Request: {'endpoint': '/dashboard', 'method': 'GET', 'payload_type': 'ddos', 'payload_size': 295, 'is_attack': True}
[2025-11-07T20:57:49.763474] LOG - IP: 192.168.1.41, Request: {'endpoint': '/api/data', 'method': 'GET', 'payload_type': 'ddos', 'payload_size': 436, 'is_attack': True}
[2025-11-07T20:57:49.764737] LOG - IP: 192.168.1.42, Request: {'endpoint': '/search', 'method': 'POST', 'payload_type': 'sql_injection', 'payload_size': 8, 'is_attack': True}
[2025-11-07T20:58:00.073265] LOG - IP: 192.168.1.15, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 181, 'is_attack': True}
[2025-11-07T20:58:00.074907] LOG - IP: 192.168.1.15, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 149, 'is_attack': True}
[2025-11-07T21:10:11.169742] LOG - IP: 192.168.1.48, Request: {'endpoint': '/dashboard', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 32, 'is_attack': True}
[2025-11-07T21:10:11.170176] LOG - IP: 192.168.1.48, Request: {'endpoint': '/profile', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 26, 'is_attack': True}
[2025-11-07T21:10:11.170573] LOG - IP: 192.168.1.24, Request: {'endpoint': '/', 'method': 'POST', 'payload_type': 'normal', 'payload_size': 1674, 'is_attack': False}
[2025-11-07T21:10:11.172714] LOG - IP: 192.168.1.49, Request: {'endpoint': '/search', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 26, 'is_attack': True}
[2025-11-07T21:10:11.175438] LOG - IP: 192.168.1.5, Request: {'endpoint': '/user/settings', 'method': 'POST', 'payload_type': 'csrf', 'payload_size': 25, 'is_attack': True}
[2025-11-07T21:10:11.175811] LOG - IP: 192.168.1.2, Request: {'endpoint': '/admin', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 25, 'is_attack': True}
[2025-11-07T21:10:11.176201] LOG - IP: 192.168.1.2, Request: {'endpoint': '/api/data', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 26, 'is_attack': True}
[2025-11-07T21:10:11.177743] LOG - IP: 192.168.1.13, Request: {'endpoint': '/api/users', 'method': 'PUT', 'payload_type': 'normal', 'payload_size': 1186, 'is_attack': False}
[2025-11-07T21:10:11.178943] LOG - IP: 192.168.1.9, Request: {'endpoint': '/api/execute', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 11, 'is_attack': True}
[2025-11-07T21:10:11.179352] LOG - IP: 192.168.1.9, Request: {'endpoint': '/api/run', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 11, 'is_attack': True}
[2025-11-07T21:10:11.179750] LOG - IP: 192.168.1.9, Request: {'endpoint': '/api/execute', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 8, 'is_attack': True}
[2025-11-07T21:10:11.183591] LOG - IP: 192.168.1.45, Request: {'endpoint': '/login?reset-password?token=fake', 'method': 'GET', 'payload_type': 'phishing', 'payload_size': 25, 'is_attack': True}
[2025-11-07T21:10:11.185291] LOG - IP: 192.168.1.45, Request: {'endpoint': '/verify?verify-account?id=stolen', 'method': 'GET', 'payload_type': 'phishing', 'payload_size': 24, 'is_attack': True}
[2025-11-07T21:10:11.185814] LOG - IP: 192.168.1.48, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 74, 'is_attack': True}
[2025-11-07T21:10:11.186267] LOG - IP: 192.168.1.48, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 111, 'is_attack': True}
[2025-11-07T21:10:11.186659] LOG - IP: 192.168.1.48, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 92, 'is_attack': True}
[2025-11-07T21:10:11.194807] LOG - IP: 192.168.1.1, Request: {'endpoint': '/', 'method': 'GET', 'payload_type': 'port_scanning', 'payload_size': 56, 'is_attack': True}
[2025-11-07T21:10:11.197803] LOG - IP: 192.168.1.35, Request: {'endpoint': '/login', 'method': 'HEAD', 'payload_type': 'normal', 'payload_size': 1413, 'is_attack': False}
[2025-11-07T21:10:11.198379] LOG - IP: 192.168.1.17, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 12, 'is_attack': True}
[2025-11-07T21:10:11.198878] LOG - IP: 192.168.1.17, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 11, 'is_attack': True}
[2025-11-07T21:10:11.199380] LOG - IP: 192.168.1.17, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 11, 'is_attack': True}
[2025-11-07T21:10:11.201914] LOG - IP: 192.168.1.50, Request: {'endpoint': '/api/users', 'method': 'GET', 'payload_type': 'ddos', 'payload_size': 300, 'is_attack': True}
[2025-11-07T21:10:11.202530] LOG - IP: 192.168.1.24, Request: {'endpoint': '/search', 'method': 'GET', 'payload_type': 'ddos', 'payload_size': 297, 'is_attack': True}
[2025-11-07T21:10:11.203941] LOG - IP: 192.168.1.50, Request: {'endpoint': '/dashboard', 'method': 'PUT', 'payload_type': 'normal', 'payload_size': 1348, 'is_attack': False}
[2025-11-07T21:10:11.209119] LOG - IP: 192.168.1.30, Request: {'endpoint': '/api/system', 'method': 'POST', 'payload_type': 'command_injection', 'payload_size': 11, 'is_attack': True}
[2025-11-07T21:10:11.209561] LOG - IP: 192.168.1.1, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 10, 'is_attack': True}
[2025-11-07T21:10:11.211044] LOG - IP: 192.168.1.47, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'normal', 'payload_size': 926, 'is_attack': False}
[2025-11-07T21:10:11.212486] LOG - IP: 192.168.1.42, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 11, 'is_attack': True}
[2025-11-07T21:10:11.213270] LOG - IP: 192.168.1.42, Request: {'endpoint': '/login', 'method': 'POST', 'payload_type': 'brute_force', 'payload_size': 13, 'is_attack': True}
[2025-11-07T21:10:11.215132] LOG - IP: 192.168.1.30, Request: {'endpoint': '/', 'method': 'POST', 'payload_type': 'xss', 'payload_size': 32, 'is_attack': True}
